Pin Height,Recognition_Load,Handness,Force_Profile,Electronic_Component
A,1,0,medium,RT03
A,1,0,increasing,RT03
A,1,0,click,RT02
A,1,0,decreasing,RT03
A,1,0,medium,RT01
A,1,0,drop,RT02
A,1,0,drop,RT03
A,1,0,empty,RT01
A,1,0,low,RT03
A,1,0,decreasing,RT02
A,1,0,high,RT01
A,1,0,click,RT03
A,1,0,click,RT01
A,1,0,empty,RT03
A,1,0,empty,RT02
A,1,0,low,RT01
A,1,0,low,RT02
A,1,0,drop,RT01
A,1,0,high,RT03
A,1,0,increasing,RT01
A,1,0,high,RT02
A,1,0,decreasing,RT01
A,1,0,medium,RT02
A,1,0,increasing,RT02
A,0,0,high,RT02
A,0,0,decreasing,RT03
A,0,0,drop,RT03
A,0,0,click,RT02
A,0,0,empty,RT01
A,0,0,decreasing,RT02
A,0,0,increasing,RT01
A,0,0,medium,RT03
A,0,0,low,RT02
A,0,0,medium,RT02
A,0,0,increasing,RT03
A,0,0,click,RT03
A,0,0,empty,RT03
A,0,0,empty,RT02
A,0,0,drop,RT02
A,0,0,low,RT03
A,0,0,increasing,RT02
A,0,0,high,RT01
A,0,0,drop,RT01
A,0,0,low,RT01
A,0,0,medium,RT01
A,0,0,high,RT03
A,0,0,decreasing,RT01
A,0,0,click,RT01
A,0,1,low,RT03
A,0,1,medium,RT01
A,0,1,click,RT03
A,0,1,low,RT01
A,0,1,high,RT02
A,0,1,empty,RT02
A,0,1,increasing,RT03
A,0,1,click,RT01
A,0,1,high,RT03
A,0,1,medium,RT03
A,0,1,decreasing,RT03
A,0,1,low,RT02
A,0,1,high,RT01
A,0,1,decreasing,RT01
A,0,1,drop,RT02
A,0,1,increasing,RT01
A,0,1,drop,RT01
A,0,1,click,RT02
A,0,1,increasing,RT02
A,0,1,medium,RT02
A,0,1,drop,RT03
A,0,1,decreasing,RT02
A,0,1,empty,RT01
A,0,1,empty,RT03
A,1,1,medium,RT03
A,1,1,increasing,RT01
A,1,1,click,RT01
A,1,1,increasing,RT02
A,1,1,empty,RT01
A,1,1,low,RT03
A,1,1,empty,RT02
A,1,1,medium,RT02
A,1,1,drop,RT02
