User_num,User_name,User_age,User_gender,Trials,Pin_height,Recognition_Load,Force_Profile,Component_Num,Duration_Time,User_Choice,Haptic_Choice_Correctness, ask_last_num,Recognition_Load_Correctness,space_sound_start,force_profile_start,sound_stop,space_curTrial_stop
4,zy,18,m,1,0,1,2,3,3432,2,1,2,0,2018-02-20 17:00:35,2018-02-20 17:00:41,2018-02-20 17:00:42,2018-02-20 17:00:44
4,zy,18,m,2,0,1,1,2,9239,1,1,2,1,2018-02-20 17:02:15,2018-02-20 17:02:53,2018-02-20 17:02:54,2018-02-20 17:03:02
4,zy,18,m,3,0,1,2,1,7774,2,1,2,1,2018-02-20 17:03:22,2018-02-20 17:03:32,2018-02-20 17:03:33,2018-02-20 17:03:39
4,zy,18,m,4,0,1,2,2,3113,2,1,2,1,2018-02-20 17:03:57,2018-02-20 17:03:58,2018-02-20 17:03:59,2018-02-20 17:04:01
4,wyk,16,male,1,0,1,2,3,2966,2,1,2,1,2018-02-20 17:14:02,2018-02-20 17:14:04,2018-02-20 17:14:06,2018-02-20 17:14:07
4,wyk,16,male,1,0,1,2,3,3149,2,1,2,1,2018-02-20 17:16:49,2018-02-20 17:16:51,2018-02-20 17:16:53,2018-02-20 17:16:55
4,wyk,16,male,2,0,1,1,2,2793,1,1,2,1,2018-02-20 17:17:24,2018-02-20 17:17:26,2018-02-20 17:17:27,2018-02-20 17:17:29
4,wyk,16,male,3,0,1,2,1,3383,2,1,2,1,2018-02-20 17:17:50,2018-02-20 17:17:56,2018-02-20 17:17:57,2018-02-20 17:17:59
4,wyk,16,male,4,0,1,2,2,2357,2,1,2,1,2018-02-20 17:18:12,2018-02-20 17:18:15,2018-02-20 17:18:16,2018-02-20 17:18:17
4,wyk,16,male,5,0,1,5,1,1346,5,1,1,1,2018-02-20 17:18:37,2018-02-20 17:18:41,2018-02-20 17:18:41,2018-02-20 17:18:42
4,wyk,16,male,6,0,1,0,3,2207,0,1,1,1,2018-02-20 17:18:57,2018-02-20 17:19:01,2018-02-20 17:19:01,2018-02-20 17:19:03
4,wyk,16,male,7,0,1,5,3,1386,5,1,2,1,2018-02-20 17:19:21,2018-02-20 17:19:26,2018-02-20 17:19:26,2018-02-20 17:19:27
4,wyk,16,male,8,0,1,5,2,1897,5,1,2,1,2018-02-20 17:20:32,2018-02-20 17:20:37,2018-02-20 17:20:37,2018-02-20 17:20:39
4,wyk,16,male,9,0,1,3,2,2378,3,1,1,1,2018-02-20 17:21:01,2018-02-20 17:21:17,2018-02-20 17:21:18,2018-02-20 17:21:20
4,wyk,16,male,10,0,1,4,2,1717,4,1,2,1,2018-02-20 17:21:37,2018-02-20 17:21:45,2018-02-20 17:21:45,2018-02-20 17:21:47
4,zy,15,male,19,0,0,5,3,1743,5,1,-1,-1,-1-1,2018-02-20 17:24:35,-1,2018-02-20 17:24:37
4,wyk,13,male,19,0,0,5,3,1519165947546,5,1,-1,-1,-1-1,,,2018-02-20 17:32:27
4,wyk,21,male,19,0,0,5,3,1519166418119,5,1,-1,-1,-1-1,,,2018-02-20 17:40:18
4,wyk,`15,male,19,0,0,5,3,1519166650219,5,1,-1,-1,-1-1,,,2018-02-20 17:44:10
4,wyk,21,male,107,1,0,5,5,0,0,1519166760165,3,0,-1,-1,-1-1,,,2018-02-20 17:46:00
4,wyk,21,male,108,1,0,3,4,1519166773624,3,1,-1,-1,-1-1,,,2018-02-20 17:46:13
4,wyk,17,male,107,1,0,5,5,1519167281487,3,0,-1,-1,-1-1,,,2018-02-20 17:54:41
4,wyk,17,male,108,1,0,3,4,1519167295501,2,0,-1,-1,-1-1,,,2018-02-20 17:54:55
