4,xsl,19,m,37,2,1,5,9,3201,5,1,1,1
4,xsl,19,m,38,2,1,0,7,3110,0,1,2,1
4,xsl,19,m,39,2,1,3,9,5745,3,1,2,1
4,xsl,19,m,40,2,1,5,7,3237,5,1,1,1
4,xsl,19,m,41,2,1,5,8,1894,5,1,2,1
4,xsl,19,m,42,2,1,4,9,2571,3,0,2,1
4,xsl,19,m,43,2,1,2,9,3926,2,1,1,1
4,xsl,19,m,44,2,1,0,9,3015,0,1,2,1
4,xsl,19,m,45,2,1,3,8,2307,3,1,2,1
4,xsl,19,m,46,2,1,2,7,4099,2,1,2,1
4,xsl,19,m,47,2,1,3,7,3607,3,1,1,1
4,xsl,19,m,48,2,1,1,9,6574,3,0,1,1
4,xsl,19,m,49,2,1,4,7,3170,4,1,1,1
4,xsl,19,m,50,2,1,4,8,2343,4,1,1,1
4,xsl,19,m,51,2,1,2,8,2401,2,1,2,1
4,xsl,19,m,52,2,1,0,8,1414,0,1,2,1
4,xsl,19,m,53,2,1,1,7,3179,1,1,1,1
4,xsl,19,m,54,2,1,1,8,3295,1,1,1,1
4,xsl,19,m,55,2,0,0,9,2622,0,1,-1,-1,-1
4,xsl,19,m,56,2,0,2,8,2621,2,1,-1,-1,-1
4,xsl,19,m,57,2,0,3,7,3135,3,1,-1,-1,-1
4,xsl,19,m,58,2,0,1,7,2964,1,1,-1,-1,-1
4,xsl,19,m,59,2,0,0,7,2320,0,1,-1,-1,-1
4,xsl,19,m,60,2,0,3,9,2809,3,1,-1,-1,-1
4,xsl,19,m,61,2,0,5,7,2471,5,1,-1,-1,-1
4,xsl,19,m,62,2,0,3,8,1994,4,0,-1,-1,-1
4,xsl,19,m,63,2,0,4,9,2547,4,1,-1,-1,-1
4,xsl,19,m,64,2,0,4,8,2174,4,1,-1,-1,-1
4,xsl,19,m,65,2,0,2,7,3022,2,1,-1,-1,-1
4,xsl,19,m,66,2,0,1,8,2614,1,1,-1,-1,-1
4,xsl,19,m,67,2,0,4,7,2867,4,1,-1,-1,-1
4,xsl,19,m,68,2,0,2,9,2879,2,1,-1,-1,-1
4,xsl,19,m,69,2,0,5,9,4230,5,1,-1,-1,-1
4,xsl,19,m,70,2,0,5,8,1495,5,1,-1,-1,-1
4,xsl,19,m,71,2,0,1,9,4466,1,1,-1,-1,-1
4,xsl,19,m,72,2,0,0,8,1495,0,1,-1,-1,-1
