['Condition', 'Force_Profile', 'Repeated_Times']
['A', 'FP02', 'RT02']
['A', 'FP04', 'RT09']
['A', 'FP08', 'RT01']
['A', 'FP05', 'RT09']
['A', 'FP02', 'RT08']
['A', 'FP03', 'RT09']
['A', 'FP01', 'RT02']
['A', 'FP01', 'RT06']
['A', 'FP08', 'RT08']
['A', 'FP02', 'RT02']
['A', 'FP06', 'RT02']
['A', 'FP05', 'RT01']
['A', 'FP06', 'RT08']
['A', 'FP07', 'RT02']
['A', 'FP02', 'RT01']
['A', 'FP04', 'RT06']
['A', 'FP07', 'RT03']
['A', 'FP08', 'RT05']
['A', 'FP04', 'RT01']
['A', 'FP06', 'RT07']
['A', 'FP08', 'RT02']
['A', 'FP08', 'RT03']
['A', 'FP07', 'RT07']
['A', 'FP02', 'RT04']
['A', 'FP04', 'RT03']
['A', 'FP06', 'RT04']
['A', 'FP03', 'RT08']
['A', 'FP01', 'RT04']
['A', 'FP01', 'RT05']
['A', 'FP04', 'RT08']
['A', 'FP06', 'RT03']
['A', 'FP08', 'RT07']
['A', 'FP08', 'RT09']
['A', 'FP03', 'RT05']
['A', 'FP05', 'RT07']
['A', 'FP05', 'RT02']
['A', 'FP04', 'RT04']
['A', 'FP03', 'RT06']
['A', 'FP07', 'RT08']
['A', 'FP03', 'RT02']
['A', 'FP05', 'RT05']
['A', 'FP06', 'RT01']
['A', 'FP03', 'RT03']
['A', 'FP03', 'RT01']
['A', 'FP06', 'RT09']
['A', 'FP01', 'RT03']
['A', 'FP01', 'RT01']
['A', 'FP06', 'RT06']
['A', 'FP01', 'RT09']
['A', 'FP02', 'RT09']
['A', 'FP04', 'RT05']
['A', 'FP05', 'RT03']
['A', 'FP07', 'RT01']
['A', 'FP06', 'RT02']
['A', 'FP04', 'RT07']
['A', 'FP08', 'RT04']
['A', 'FP05', 'RT02']
['A', 'FP07', 'RT06']
['A', 'FP06', 'RT05']
['A', 'FP01', 'RT02']
['A', 'FP05', 'RT04']
['A', 'FP03', 'RT04']
['A', 'FP07', 'RT02']
['A', 'FP08', 'RT06']
['A', 'FP04', 'RT02']
['A', 'FP02', 'RT06']
['A', 'FP02', 'RT05']
['A', 'FP01', 'RT07']
['A', 'FP02', 'RT03']
['A', 'FP04', 'RT02']
['A', 'FP01', 'RT08']
['A', 'FP07', 'RT09']
['A', 'FP07', 'RT05']
['A', 'FP03', 'RT02']
['A', 'FP07', 'RT04']
['A', 'FP05', 'RT08']
['A', 'FP03', 'RT07']
['A', 'FP08', 'RT02']
['A', 'FP05', 'RT06']
['A', 'FP02', 'RT07']
['B', 'FP05', 'RT02']
['B', 'FP04', 'RT02']
['B', 'FP06', 'RT04']
['B', 'FP04', 'RT05']
['B', 'FP08', 'RT02']
['B', 'FP06', 'RT02']
['B', 'FP05', 'RT03']
['B', 'FP01', 'RT02']
['B', 'FP08', 'RT01']
['B', 'FP02', 'RT09']
