['Condition', 'Force_Profile', 'Repeated_Times']
['C', 5, 8]
['C', 5, 5]
['C', 0, 3]
['C', 7, 1]
['C', 6, 7]
['C', 2, 7]
['C', 3, 7]
['C', 2, 2]
['C', 1, 0]
['C', 6, 6]
['C', 6, 1]
['C', 3, 4]
['C', 5, 1]
['C', 5, 7]
['C', 1, 7]
['C', 3, 5]
['C', 7, 0]
['C', 0, 8]
['C', 0, 2]
['C', 7, 6]
['C', 1, 5]
['C', 6, 4]
['C', 4, 7]
['C', 2, 5]
['C', 2, 0]
['C', 1, 8]
['C', 2, 4]
['C', 2, 3]
['C', 7, 2]
['C', 1, 3]
['C', 5, 4]
['C', 1, 4]
['C', 4, 4]
['C', 0, 4]
['C', 5, 3]
['C', 6, 0]
['C', 3, 3]
['C', 6, 8]
['C', 2, 1]
['C', 3, 8]
['C', 5, 0]
['C', 3, 6]
['C', 3, 0]
['C', 1, 1]
['C', 7, 7]
['C', 2, 8]
['C', 7, 8]
['C', 7, 5]
['C', 0, 7]
['C', 0, 5]
['C', 5, 2]
['C', 2, 6]
['C', 6, 5]
['C', 0, 0]
['C', 4, 3]
['C', 7, 3]
['C', 3, 1]
['C', 0, 6]
['C', 0, 1]
['C', 5, 6]
['C', 4, 2]
['C', 7, 4]
['C', 3, 2]
['C', 6, 3]
['C', 4, 6]
['C', 1, 2]
['C', 4, 1]
['C', 4, 0]
['C', 4, 5]
['C', 1, 6]
['C', 6, 2]
['C', 4, 8]
['B', 6, 2]
['B', 0, 2]
['B', 6, 7]
['B', 3, 6]
['B', 6, 6]
['B', 0, 1]
['B', 5, 2]
['B', 5, 1]
['B', 5, 0]
['B', 2, 8]
['B', 5, 8]
['B', 7, 8]
['B', 7, 3]
['B', 3, 7]
['B', 5, 7]
['B', 1, 2]
['B', 4, 8]
['B', 0, 6]
['B', 4, 6]
['B', 2, 6]
['B', 3, 3]
['B', 7, 2]
['B', 7, 7]
['B', 1, 3]
['B', 5, 6]
['B', 1, 6]
['B', 2, 7]
['B', 3, 8]
['B', 5, 5]
['B', 0, 0]
['B', 4, 4]
['B', 4, 5]
['B', 3, 1]
['B', 7, 6]
['B', 1, 0]
['B', 7, 1]
['B', 2, 2]
['B', 0, 4]
['B', 2, 3]
['B', 4, 2]
['B', 1, 1]
['B', 6, 3]
['B', 1, 5]
['B', 6, 5]
['B', 3, 4]
['B', 7, 4]
['B', 2, 4]
['B', 2, 1]
['B', 3, 5]
['B', 7, 0]
['B', 5, 3]
['B', 1, 8]
['B', 3, 0]
['B', 2, 5]
['B', 0, 8]
['B', 4, 3]
['B', 0, 3]
['B', 5, 4]
['B', 2, 0]
['B', 0, 5]
['B', 3, 2]
['B', 4, 7]
['B', 6, 4]
['B', 6, 1]
['B', 7, 5]
['B', 6, 8]
['B', 1, 7]
['B', 1, 4]
['B', 0, 7]
['B', 4, 0]
['B', 4, 1]
['B', 6, 0]
['D', 2, 4]
['D', 2, 7]
['D', 4, 7]
['D', 6, 8]
['D', 3, 3]
['D', 1, 7]
['D', 3, 7]
['D', 1, 3]
['D', 3, 4]
['D', 2, 1]
['D', 7, 1]
['D', 4, 5]
['D', 5, 4]
['D', 4, 4]
['D', 4, 8]
['D', 7, 7]
['D', 0, 1]
['D', 2, 6]
['D', 7, 3]
['D', 4, 2]
['D', 1, 5]
['D', 0, 4]
['D', 1, 2]
['D', 6, 1]
['D', 0, 6]
['D', 4, 6]
['D', 5, 2]
['D', 1, 0]
['D', 4, 3]
['D', 6, 3]
['D', 5, 1]
['D', 4, 1]
['D', 0, 8]
['D', 0, 3]
['D', 6, 4]
['D', 7, 6]
['D', 7, 5]
['D', 7, 8]
['D', 2, 5]
['D', 5, 5]
['D', 0, 7]
['D', 5, 0]
['D', 5, 8]
['D', 7, 4]
['D', 7, 0]
['D', 3, 6]
['D', 0, 0]
['D', 5, 7]
['D', 6, 5]
['D', 0, 2]
['D', 6, 0]
['D', 1, 1]
['D', 3, 5]
['D', 5, 6]
['D', 7, 2]
['D', 0, 5]
['D', 1, 8]
['D', 5, 3]
['D', 3, 1]
['D', 2, 8]
['D', 6, 7]
['D', 1, 6]
['D', 3, 2]
['D', 3, 8]
['D', 2, 0]
['D', 2, 2]
['D', 1, 4]
['D', 4, 0]
['D', 3, 0]
['D', 6, 6]
['D', 2, 3]
['D', 6, 2]
['A', 4, 0]
['A', 2, 1]
['A', 1, 3]
['A', 2, 6]
['A', 7, 4]
['A', 5, 3]
['A', 1, 0]
['A', 5, 6]
['A', 3, 2]
['A', 4, 1]
['A', 1, 5]
['A', 7, 0]
['A', 1, 1]
['A', 4, 7]
['A', 4, 2]
['A', 1, 4]
['A', 6, 6]
['A', 4, 5]
['A', 7, 8]
['A', 7, 5]
['A', 2, 3]
['A', 3, 7]
['A', 3, 8]
['A', 2, 2]
['A', 1, 6]
['A', 3, 6]
['A', 0, 0]
['A', 3, 3]
['A', 5, 4]
['A', 6, 7]
['A', 6, 4]
['A', 5, 7]
['A', 7, 3]
['A', 5, 0]
['A', 7, 6]
['A', 3, 0]
['A', 2, 8]
['A', 5, 5]
['A', 2, 5]
['A', 6, 8]
['A', 7, 2]
['A', 7, 1]
['A', 2, 0]
['A', 6, 0]
['A', 1, 8]
['A', 7, 7]
['A', 0, 1]
['A', 1, 2]
['A', 0, 5]
['A', 4, 8]
['A', 0, 3]
['A', 3, 4]
['A', 5, 2]
['A', 4, 6]
['A', 2, 7]
['A', 5, 1]
['A', 4, 4]
['A', 0, 6]
['A', 2, 4]
['A', 0, 8]
['A', 6, 5]
['A', 4, 3]
['A', 6, 1]
['A', 0, 4]
['A', 0, 2]
['A', 1, 7]
['A', 0, 7]
['A', 3, 5]
['A', 3, 1]
['A', 6, 2]
['A', 6, 3]
['A', 5, 8]
